#size: 500 4
#stance_hip, swing_hip, stance_knee, swing_knee
0.619408122,-0.596655754,11.32282202,9.773255851
0.630452054,-0.572442377,11.35040298,9.833609582
0.641486341,-0.548182714,11.37796762,9.89405924
0.652519137,-0.523688522,11.40557955,9.955061792
0.663475577,-0.498351471,11.43311262,10.01789205
0.674320563,-0.472005104,11.4604915,10.08282756
0.685123094,-0.444875984,11.48783648,10.14942228
0.695831302,-0.41705427,11.51505472,10.21749088
0.706461809,-0.38837097,11.54218049,10.28736595
0.71700868,-0.358809974,11.56920721,10.3591226
0.727476746,-0.32845893,11.59612704,10.43251572
0.73781777,-0.297134938,11.62286975,10.50796572
0.748082602,-0.26486326,11.64952413,10.58539574
0.758248743,-0.231595057,11.67603293,10.664886
0.768302844,-0.197452888,11.70238749,10.74620747
0.778253058,-0.162314477,11.72859363,10.82961298
0.788089794,-0.126030584,11.75464504,10.91538469
0.797812071,-0.088719956,11.78051756,11.00327016
0.807410717,-0.050301025,11.80621015,11.09345286
0.81689674,-0.010737114,11.83173846,11.18597519
0.826255372,0.029955727,11.85707734,11.28083068
0.835497952,0.071843114,11.88223162,11.37812827
0.844583649,0.114972182,11.90714366,11.47798373
0.853566007,0.159367609,11.93190238,11.58040276
0.862420514,0.204992021,11.95646369,11.68531799
0.871123145,0.251973158,11.98077054,11.79300379
0.879658437,0.300448945,12.00481046,11.90374918
0.888100917,0.350247219,12.028712,12.01713283
0.896387731,0.401455733,12.05235139,12.13335432
0.90450284,0.454144946,12.07570781,12.25259022
0.912490668,0.508353741,12.0988554,12.374918
0.920307051,0.564330555,12.1217173,12.50077341
0.927987826,0.621822684,12.14434379,12.62965619
0.935504129,0.680755378,12.1666979,12.76143744
0.94285391,0.741528951,12.18876651,12.89695239
0.950054475,0.804123391,12.2105718,13.03607461
0.957062797,0.868439641,12.2320435,13.17863801
0.963921003,0.934528581,12.25325874,13.32476427
0.97064177,1.002393507,12.27423001,13.47443305
0.977146217,1.072146419,12.29481451,13.62786283
0.983450078,1.1441009,12.31504199,13.78569358
0.989641667,1.217919517,12.33506978,13.9472289
0.995635479,1.293493591,12.35474965,14.11226552
1.001421865,1.371285238,12.3740375,14.28171686
1.007038968,1.45136279,12.39302824,14.45573747
1.012456861,1.533480236,12.41165945,14.63381914
1.017696706,1.617618356,12.42995751,14.81590092
1.022738078,1.704258887,12.44788996,15.00297599
1.027614638,1.792768913,12.4655242,15.19380628
1.03224709,1.883835161,12.48270311,15.38972045
1.036674738,1.977180543,12.49950767,15.5901654
1.040927002,2.072782792,12.51598077,15.79512438
1.044978788,2.170912474,12.53207925,16.00509993
1.048805788,2.27137509,12.54776924,16.21980235
1.052409685,2.37418749,12.56304004,16.43921488
1.055832864,2.479561319,12.57796512,16.66364536
1.059011841,2.587539754,12.59243999,16.89332389
1.061994368,2.697655869,12.60655433,17.12742197
1.06476071,2.810657578,12.6202664,17.36724293
1.067252935,2.926176614,12.63345317,17.61200188
1.069584627,3.044031776,12.64635305,17.8616263
1.071680118,3.16472813,12.65882145,18.11699852
1.073498986,3.287965651,12.67077286,18.37743639
1.075132374,3.413569796,12.68237463,18.64271647
1.076515486,3.542194431,12.69352082,18.91404689
1.077665846,3.673214368,12.70425168,19.1903751
1.078593447,3.80661241,12.71456789,19.47152906
1.079265938,3.943178094,12.72441072,19.75905314
1.079699674,4.082074862,12.73383463,20.05143651
1.079897784,4.223508107,12.74283367,20.34902297
1.079864412,4.367718368,12.75141185,20.65230004
1.079576874,4.514428758,12.75954137,20.96076607
1.079021212,4.663893249,12.76720251,21.27495841
1.078245888,4.815848451,12.77447657,21.59424906
1.077226569,4.970343491,12.78131865,21.91890041
1.075962515,5.127451605,12.78774453,22.24896786
1.074420503,5.287230337,12.79369775,22.58463058
1.072652379,5.449391545,12.79925941,22.92533467
1.070643917,5.614034869,12.80441747,23.27125366
1.068358766,5.781283329,12.80911377,23.6226107
1.065842496,5.950828076,12.81343733,23.97894866
1.063066542,6.122938399,12.81732933,24.34076532
1.060021738,6.297481269,12.82078275,24.70764029
1.056776082,6.474103241,12.82392862,25.07909087
1.053235429,6.653268141,12.82659807,25.45599297
1.049425814,6.834899657,12.82884726,25.83815054
1.045434623,7.018395306,12.83083235,26.22447284
1.041123982,7.204330951,12.83231206,26.61600809
1.03657492,7.392579228,12.83344541,27.01257784
1.031808442,7.582765666,12.83427221,27.41353821
1.026769854,7.774950576,12.83468093,27.81874042
1.021451014,7.969424304,12.83469523,28.22908557
1.015943201,8.165744129,12.83446417,28.64353916
1.01016869,8.363977771,12.83385161,29.06219471
1.004103203,8.564331704,12.83282089,29.48555409
0.997799132,8.766375956,12.83149858,29.91279462
0.991304852,8.970246511,12.82993719,30.3441183
0.984531791,9.175875624,12.8279969,30.77938434
0.977462814,9.383155211,12.82568018,31.21841211
0.970192162,9.59230371,12.82313374,31.66171432
0.96269274,9.802784427,12.82030879,32.10801825
0.954930229,10.01483498,12.81716063,32.55791547
0.946887184,10.22858874,12.81369948,33.01180938
0.938637735,10.44364562,12.80999951,33.46861626
0.930154685,10.65997183,12.80603812,33.92838073
0.921403089,10.87772191,12.80179777,34.39149516
0.912399959,11.09682917,12.79728446,34.85773216
0.903178475,11.31695676,12.79254173,35.3263317
0.893723063,11.5382791,12.78757201,35.79773156
0.884007211,11.76082582,12.78235969,36.2719376
0.87403818,11.98428774,12.77687119,36.74829994
0.863858154,12.20872806,12.77120129,37.22696533
0.853431049,12.43418762,12.76533214,37.70794069
0.84275014,12.66055012,12.7592131,38.1910395
0.831828336,12.88757961,12.75287049,38.6757275
0.820689075,13.11538525,12.74637305,39.16213581
0.809301139,13.34415829,12.73968097,39.65074608
0.797668137,13.57337293,12.73276233,40.14030132
0.785808747,13.80311169,12.72567128,40.63112224
0.773709208,14.03363015,12.71841799,41.12357155
0.761376675,14.26458231,12.71099988,41.61690912
0.748804501,14.49586456,12.70337471,42.11097167
