#size: 500 5
#stance_hip, swing_hip, stance_knee, swing_knee,torso_angle
24.89811514,-12.79293243,7.167421244,18.07066928,7.764855688
24.88882369,-12.85830848,7.153910641,18.14933193,7.746033971
24.87956097,-12.92364051,7.140539262,18.22797779,7.727227198
24.87044906,-12.98887281,7.128652743,18.306785,7.708360945
24.86199576,-13.05375513,7.12348957,18.38650209,7.689162157
24.85459015,-13.11804771,7.128450154,18.46777566,7.669473155
24.84788698,-13.18188775,7.14037895,18.55016874,7.649443947
24.84164368,-13.24542779,7.156927055,18.63324529,7.629181118
24.83631951,-13.30836432,7.181812694,18.71773369,7.608532199
24.8316847,-13.37084933,7.212822771,18.80326463,7.587593695
24.82794416,-13.43269206,7.252741644,18.89030901,7.566176576
24.82471425,-13.49410872,7.29748935,18.97818663,7.54454569
24.82205049,-13.55506084,7.347296426,19.06699719,7.522691995
24.8201999,-13.61534266,7.4044552,19.15722286,7.500462093
24.8191784,-13.67493714,7.468944201,19.2488937,7.477861033
24.81886596,-13.73388197,7.539956063,19.34187278,7.454947555
24.81898034,-13.79235953,7.615089359,19.43569225,7.431827358
24.81981564,-13.8501424,7.696505558,19.53081947,7.408418884
24.8214011,-13.90717916,7.784304602,19.62737021,7.384707666
24.82374004,-13.96339335,7.879129651,19.72549117,7.360618218
24.82657307,-14.01899613,7.978480024,19.82469881,7.336296394
24.8300298,-14.07388164,8.082667365,19.92511745,7.311801479
24.83410839,-14.12784954,8.192656876,20.02708951,7.287019357
24.83873446,-14.18097176,8.307966548,20.1305111,7.261924747
24.84402337,-14.23325411,8.428899483,20.23540652,7.236581203
24.84991277,-14.28472226,8.554747425,20.34162836,7.211037629
24.85634229,-14.33507366,8.685983967,20.449615,7.185218823
24.86322354,-14.38456397,8.821384528,20.55899187,7.159184022
24.8706497,-14.43322028,8.961121288,20.66969138,7.132970331
24.8787105,-14.48073082,9.106444501,20.78216933,7.106505837
24.88714301,-14.52728715,9.255647857,20.89608314,7.079848079
24.89591732,-14.57298006,9.408166549,21.01129563,7.053045397
24.90525066,-14.61727803,9.5657911,21.12860111,7.026022525
24.91512459,-14.66019738,9.72845107,21.24794987,6.998771105
24.92528429,-14.70227406,9.893988902,21.36848621,6.97139968
24.9358241,-14.74323016,10.06323191,21.49063608,6.943882909
24.94674542,-14.7828348,10.23628367,21.61469356,6.916212283
24.95794863,-14.82118918,10.41263922,21.74050668,6.888386412
24.96950538,-14.85832779,10.59265982,21.86802456,6.860429
24.98137055,-14.89411819,10.77599558,21.99739433,6.832365478
24.99349388,-14.92845401,10.96248591,22.12875543,6.804181582
25.00581349,-14.96146139,11.15177888,22.26189418,6.775873667
25.01834105,-14.99305023,11.34399997,22.39688366,6.747495973
