#size: 500 5
#stance_hip, swing_hip, stance_knee, swing_knee,torso_angle
34.20123064,-12.75840968,16.62951344,14.90467012,11.27315913
34.19357899,-12.83478583,16.7304096,14.93933403,11.26101659
34.18592733,-12.91116198,16.83130577,14.97399793,11.24887405
34.17827568,-12.98753812,16.93220193,15.00866183,11.23673151
34.17062535,-13.06391144,17.03316904,15.04333338,11.22458362
34.16249694,-13.13992273,17.14700776,15.07938818,11.21168609
34.15423751,-13.21573702,17.2637401,15.11596294,11.19868405
34.14597807,-13.29155131,17.38047243,15.15253771,11.18568201
34.13771927,-13.3673564,17.49732934,15.1891313,11.17266977
34.12898965,-13.44279299,17.62317015,15.22681706,11.15901958
34.1199719,-13.51778665,17.7539682,15.26553304,11.14517748
34.1109203,-13.59272646,17.88482009,15.30434568,11.13133131
34.1018658,-13.66764622,18.01583131,15.34319312,11.1174707
34.09230896,-13.74219239,18.15262309,15.3829221,11.1030729
34.08245568,-13.81609973,18.29570873,15.42399194,11.0884228
34.07242593,-13.88980392,18.43887385,15.46542402,11.07375879
34.06237404,-13.96345311,18.58221916,15.5069452,11.05907608
34.05178496,-14.03668148,18.72929118,15.54928517,11.04394307
34.04092324,-14.10916118,18.88237349,15.59304111,11.02852701
34.02977559,-14.18129147,19.03602985,15.63741395,11.01308203
34.01851094,-14.25321625,19.18983155,15.68211794,10.99761432
34.00668923,-14.32468543,19.34589869,15.72759741,10.981775
33.99464126,-14.39536024,19.50714301,15.7744519,10.96564179
33.98213751,-14.46535575,19.66948475,15.82243828,10.94945921
33.96950215,-14.53514359,19.83188973,15.87074581,10.93325405
33.95626214,-14.60431751,19.99567102,15.92001018,10.91674788
33.94269367,-14.67264019,20.16314964,15.97065564,10.89994874
33.92873631,-14.74008783,20.33238263,16.02266312,10.8830933
33.91449572,-14.80716369,20.50154247,16.07524831,10.86620614
33.89963404,-14.87351102,20.67142059,16.12891029,10.84908235
33.88431912,-14.93885371,20.84377976,16.1841213,10.83168113
33.86874776,-15.00335105,21.01795985,16.24057096,10.81422424
33.85258713,-15.06697772,21.19193492,16.29834589,10.79672633
33.83593316,-15.12999666,21.36629023,16.35696098,10.77904289
33.81865594,-15.1917359,21.54200751,16.41749552,10.76111702
33.80115152,-15.25261458,21.71936531,16.47923092,10.74313092
33.78294072,-15.31226482,21.8965004,16.54275448,10.7251044
33.7641256,-15.37109991,22.07352571,16.60741453,10.7069367
33.74479153,-15.42877283,22.25128978,16.67377432,10.68856391
33.7250611,-15.48529191,22.43017489,16.74171903,10.6701351
33.70462133,-15.54044884,22.60882653,16.81156575,10.65166863
33.68336373,-15.59436416,22.78680762,16.88316463,10.63310571
33.66168836,-15.64718916,22.96516014,16.95632827,10.61437177
33.63945767,-15.69861664,23.14406813,17.03136699,10.59558644
33.6165951,-15.74872737,23.32265823,17.10820604,10.57678376
33.5926775,-15.79707018,23.500073,17.18750518,10.55792196
33.56832213,-15.84415804,23.67749101,17.26859275,10.53893041
33.54339753,-15.88990102,23.85502283,17.35144034,10.51988528
33.51780574,-15.93416415,24.03203962,17.43628633,10.50085151
33.49105297,-15.97638107,24.20756857,17.52390718,10.4817846
33.46373343,-16.01696563,24.38261555,17.6138546,10.46264674
33.43576308,-16.05610237,24.55724496,17.7057003,10.44346709
33.4072805,-16.09395416,24.73154502,17.79921021,10.42429802
33.37748624,-16.12946736,24.90392509,17.89584476,10.40513012
33.34691353,-16.16277787,25.07522654,17.99560133,10.38595602
33.31565721,-16.19459049,25.24574238,18.09733257,10.36676094
33.28378307,-16.22493894,25.41566419,18.20090626,10.34757776
33.25081492,-16.25319742,25.58387747,18.30726039,10.32842002
33.21684264,-16.27874335,25.75043057,18.41736024,10.30931664
33.18206387,-16.30247885,25.91574594,18.52989851,10.29022924
33.14648985,-16.32457455,26.07997631,18.64449557,10.27116506
33.11010295,-16.34487561,26.24292787,18.76144962,10.25213972
33.0725571,-16.36217592,26.40379761,18.88245728,10.23320699
33.03402556,-16.37714153,26.56288383,19.00665847,10.21435092
32.99450673,-16.39029935,26.72037078,19.13313181,10.19553282
32.95430317,-16.4017079,26.87673415,19.26188491,10.17678147
32.91304625,-16.41028145,27.03114894,19.3944025,10.15811759
32.87055197,-16.41593522,27.18311425,19.53089571,10.13961467
32.82691815,-16.41952577,27.33302922,19.67003246,10.12117023
32.78252675,-16.42123548,27.48160698,19.81158668,10.10280872
32.73732244,-16.42034402,27.6286016,19.95658502,10.08457534
32.69078946,-16.41647368,27.77291576,20.10556909,10.06651213
32.64294454,-16.4100453,27.91463962,20.25792185,10.04856274
32.594176,-16.40143385,28.05463797,20.41305292,10.03072228
32.5447703,-16.39042469,28.19330189,20.57135437,10.01305933
32.49401586,-16.37657177,28.32923664,20.73339401,9.995542734
32.44188903,-16.35974005,28.46230404,20.89940363,9.978195635
32.38859951,-16.34031494,28.5930646,21.06872365,9.961005211
32.33477305,-16.3187009,28.72262597,21.24090904,9.944021914
32.27956744,-16.29415233,28.84934107,21.41692928,9.927192484
32.22319504,-16.26686124,28.97357264,21.59660029,9.910539886
32.16530987,-16.23632313,29.09462505,21.78045201,9.894114299
32.10674619,-16.20340319,29.21414514,21.96737765,9.877923481
32.04714376,-16.16796672,29.33144023,22.15759842,9.861905733
31.98637729,-16.12986081,29.44623589,22.35134406,9.846073922
31.92392284,-16.08807499,29.55739519,22.54985711,9.830490751
31.86062737,-16.04367762,29.66659983,22.75168349,9.815197944
31.79654123,-15.99702401,29.77402598,22.95648145,9.800107389
31.73123214,-15.94765675,29.8788086,23.164828,9.785192268
31.6642609,-15.89461203,29.97992993,23.37793739,9.770563634
31.59629322,-15.83863563,30.07871452,23.59474937,9.756245858
31.52764909,-15.78056214,30.17587514,23.81429593,9.742171259
31.45776116,-15.71972952,30.27030525,24.03742627,9.728275935
31.38640162,-15.65548091,30.36141962,24.2649828,9.714693643
31.3138398,-15.58789894,30.44970379,24.49673814,9.701434178
31.24054591,-15.5181532,30.53618517,24.73126093,9.688446728
31.16625966,-15.44600985,30.62038773,24.96889274,9.675667837
31.0905366,-15.37042514,30.70132074,25.2109603,9.663198734
31.01348085,-15.29134324,30.77905509,25.45738644,9.651092878
30.93575325,-15.21025075,30.85512205,25.70637202,9.639227363
30.8571519,-15.12685819,30.92904765,25.95829633,9.62763136
30.77711722,-15.03989655,30.99965609,26.21479242,9.616336197
30.69575651,-14.94959979,31.06703745,26.47537874,9.605442503
30.61365785,-14.8570429,31.13253311,26.73880223,9.594802197
30.53092038,-14.76277078,31.19640328,27.00440195,9.58438895
30.44680858,-14.66483536,31.25697029,27.27464399,9.574313004
30.36135848,-14.56360568,31.31423058,27.54884493,9.564673237
30.27506757,-14.45978857,31.3692822,27.826232,9.555310832
30.18821598,-14.35453082,31.42289555,28.10543573,9.546138808
30.10033124,-14.2462299,31.47388649,28.38845699,9.537301151
30.01100389,-14.13432983,31.5212218,28.67568307,9.528919168
29.92085207,-14.01991533,31.5663686,28.96596385,9.520853486
29.8300793,-13.90389936,31.60986971,29.25819519,9.512972954
29.73856552,-13.785568,31.65140955,29.55332853,9.505374894
29.64564235,-13.66348181,31.68922617,29.85270968,9.498250561
29.55192736,-13.53903246,31.72489566,30.154876,9.491480539
29.4575388,-13.41277161,31.75871762,30.45916318,9.484894396
29.36251492,-13.28451804,31.79077653,30.76587682,9.478579484
29.26634074,-13.15303436,31.8196902,31.07617617,9.472673755
29.16932286,-13.0190122,31.84620915,31.38927171,9.467175761
29.07166452,-12.88320044,31.87092272,31.7043945,9.461869789
28.97336242,-12.74540765,31.89375977,32.02179156,9.456833131
28.87421316,-12.60512419,31.91417756,32.34187124,9.452141333
28.77420608,-12.4621871,31.93204968,32.66469095,9.447856586
28.67360606,-12.31752729,31.94820033,32.98938827,9.443802116
28.57234718,-12.17083975,31.96231466,33.31621063,9.440008965
28.47045019,-12.022259,31.97453861,33.64498329,9.436506892
28.3677628,-11.87107288,31.98427211,33.97627565,9.433389123
28.26451166,-11.71819137,31.9923081,34.30931626,9.430538321
28.16061958,-11.56330711,31.99823114,34.64420137,9.427940131
28.05619458,-11.40688953,32.00254241,34.98058464,9.425588195
27.95109456,-11.24799431,32.00449695,35.31909437,9.423625763
27.84546844,-11.08761419,32.00488069,35.65910092,9.421873439
27.73929175,-10.92533661,32.0032663,36.00059658,9.420417565
27.63259519,-10.76155271,31.99998705,36.34338526,9.419177352
27.52538268,-10.5958311,31.99477942,36.6875781,9.418276454
