#size: 500 5
#stance_hip, swing_hip, stance_knee, swing_knee,torso_angle
20.95516155,-10.87502014,6.462841046,15.90350265,14.78764511
20.96142535,-10.91782594,6.593149634,15.97809432,14.77070701
20.96770939,-10.96065089,6.7235257,16.05269102,14.75375644
20.97405193,-11.00343005,6.854204433,16.12742233,14.73678617
20.98065186,-11.04496625,6.987134349,16.20458191,14.71967671
20.98732807,-11.08537323,7.121480603,16.2838962,14.70243994
20.99409636,-11.12514679,7.256900367,16.36451103,14.685118
21.00107659,-11.16397203,7.393981009,16.44701327,14.66769901
21.00807264,-11.20152412,7.532199897,16.53187537,14.65018109
21.01508197,-11.23806155,7.671439751,16.61860477,14.63257923
21.02226929,-11.27377412,7.812218829,16.70690878,14.61489958
21.02951622,-11.30859208,7.953976562,16.79692916,14.59713236
21.03661603,-11.34188599,8.096519176,16.88967711,14.57927632
21.04369323,-11.37376892,8.2402425,16.98494968,14.56132128
21.05088137,-11.40511318,8.38470291,17.08124637,14.54331681
21.05803722,-11.43561845,8.529809245,17.17903961,14.5252531
21.06497403,-11.46417041,8.675837724,17.28016591,14.50709891
21.07180958,-11.49164956,8.822370591,17.38320632,14.48888253
21.07862941,-11.51825135,8.969576847,17.48784907,14.4706007
21.08529128,-11.54332354,9.117475371,17.5950548,14.45226362
21.09165156,-11.56668772,9.265753472,17.70511503,14.4338723
21.09790446,-11.58920791,9.41432293,17.81663333,14.4154282
21.10399379,-11.61061116,9.563277204,17.9299934,14.39691455
21.10977861,-11.63043236,9.712383442,18.04595,14.37836451
21.11517919,-11.64840972,9.861706752,18.16495137,14.35977058
21.12039624,-11.66535546,10.01124207,18.28561583,14.34114736
21.12534547,-11.68092241,10.16093321,18.4085131,14.32246687
21.12986635,-11.69497254,10.31044252,18.53382651,14.30374881
21.13391778,-11.70722281,10.45986042,18.66194415,14.28499866
21.13767567,-11.71812863,10.60919866,18.79218696,14.26624708
21.14110161,-11.72785124,10.75839567,18.92430691,14.24745367
21.1439484,-11.73576906,10.90722319,19.05917971,14.22860398
21.14618421,-11.74159429,11.05561445,19.19724153,14.20976646
21.14817524,-11.74646408,11.20387028,19.33674908,14.1909393
21.14969587,-11.74984491,11.35177393,19.47856631,14.17207929
21.15035928,-11.75078806,11.49877611,19.62396714,14.15318627
21.15050803,-11.75030464,11.64519182,19.77146746,14.13430433
21.15024067,-11.74869789,11.79120246,19.92062324,14.11542491
21.14935215,-11.74518067,11.93661159,20.07257383,14.09655769
21.14770828,-11.7394265,12.08116723,20.22779452,14.0777036
21.14529129,-11.73192016,12.22468397,20.38553658,14.05883698
21.1424616,-11.72341997,12.36766052,20.54465248,14.03998177
21.13885369,-11.71271748,12.50966996,20.70686493,14.02118422
21.13445609,-11.70022336,12.65058535,20.87156211,14.00238836
21.12927197,-11.6858399,12.79046945,21.03898425,13.98359725
21.12334036,-11.66945948,12.92932982,21.20918767,13.96486833
21.11676901,-11.65144955,13.06731125,21.38161159,13.946194
21.10931454,-11.63171449,13.20392991,21.55631552,13.92751076
21.10103488,-11.61013472,13.33925103,21.73348004,13.90887994
21.0920615,-11.58664036,13.47360339,21.91324699,13.89034316
21.08210665,-11.56106409,13.6065164,22.09589417,13.87183848
21.07113669,-11.5333056,13.73780627,22.28139596,13.85338514
21.05941337,-11.50385467,13.86789029,22.46906164,13.83499515
21.0469799,-11.47290695,13.99681279,22.65864877,13.81667605
21.03373047,-11.44021597,14.12442335,22.85050136,13.79842441
21.01935342,-11.40498398,14.25020206,23.04567658,13.7802711
21.00381574,-11.36736739,14.37405342,23.24384774,13.76221171
20.98763595,-11.32848827,14.49687239,23.44366648,13.74420167
20.97078318,-11.28821382,14.6185126,23.64518644,13.72626685
20.95261048,-11.24503409,14.73788913,23.85032197,13.7085015
20.93337478,-11.19973973,14.85544994,24.05808218,13.690833
20.91359301,-11.15343287,14.97204285,24.26707979,13.67320299
20.89275729,-11.10498443,15.0867931,24.47868994,13.65570897
20.87072253,-11.05411452,15.19939069,24.69319158,13.63836359
20.84766395,-11.00106056,15.31025412,24.91041809,13.62115938
20.82387224,-10.94660229,15.41976873,25.12929887,13.60402493
